Activity ID,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Athlete Weight,Bike Weight,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Calories,Relative Effort.1,Commute.1,Year,Pace,COVID_Period,Elevation_Group,Week,Year_Week
7400875064,Run,8327,21.12,140.0,42.0,False,,,,8247,3.527,2.561,57.8,514.0,793.5,820.8,6.9,0.0,97.0,91.0,,126.0,1445.0,42.0,0.0,2022,6.508049242424241,Post-COVID,High,26,2022-26
4660816711,Run,1398,5.33,152.0,10.0,False,,,,1398,6.0,3.818,7.1,33.0,795.2,799.0,1.4,0.0,96.0,93.0,,121.0,348.0,10.0,0.0,2021,4.371482176360225,COVID,Low,3,2021-3
5857226442,Run,3208,10.0,167.0,85.0,False,Nike Flyknit Streak 6 Nike Flyknit S6,,,3201,4.5,3.126,11.8,226.0,795.1,799.0,2.5,0.0,98.0,90.0,,146.0,691.0,85.0,0.0,2021,5.335,COVID,Low,34,2021-34
6497173752,Run,3670,10.09,145.0,26.0,False,,,,3650,4.914,2.767,17.8,214.0,792.8,798.9,6.2,0.0,95.0,90.0,,130.0,717.0,26.0,0.0,2022,6.029071688140073,Post-COVID,Low,1,2022-1
6650870009,Run,3811,12.11,160.0,75.0,False,,,,3811,5.236,3.179,14.2,236.0,795.0,799.0,4.4,0.0,98.0,91.0,,141.0,829.0,75.0,0.0,2022,5.244976603358106,Post-COVID,Low,6,2022-6
1421846989,Run,3000,10.01,173.0,90.0,False,,67.0,,3000,3.9,,59.6,,793.6,796.6,2.3,0.0,95.0,88.0,173.0,142.0,828.0,90.0,0.0,2018,4.9950049950049955,Pre-COVID,High,8,2018-8
1465529504,Run,1358,3.92,148.0,22.0,False,Nike Flyknit Streak 6 Nike Flyknit S6,67.0,,1351,4.5,,18.9,,794.6,798.2,3.1,0.0,97.0,90.0,148.0,124.0,324.0,22.0,0.0,2018,5.744047619047619,Pre-COVID,Low,12,2018-12
3443392015,Run,612,1.51,138.0,13.0,False,,67.4,,612,3.5,2.471,,115.0,794.5,804.5,1.1,-0.6,95.0,87.0,138.0,134.0,105.0,13.0,0.0,2020,6.754966887417218,COVID,Low,20,2020-20
11787290948,Run,2711,7.2,133.0,12.0,False,ASICS Kayano 29 Asics K29,,,2711,3.983,2.657,2.3,140.0,795.1,797.7,2.1,0.0,94.0,90.0,133.0,125.0,503.0,12.0,0.0,2024,6.275462962962962,Post-COVID,Low,27,2024-27
2131971448,Run,2718,7.23,126.0,11.0,False,,68.7,,2718,4.1,,38.3,46.0,793.5,796.7,2.2,0.0,92.0,86.0,126.0,118.0,427.0,11.0,0.0,2019,6.265560165975103,Pre-COVID,High,6,2019-6
9832006427,Run,3477,10.01,142.0,36.0,False,Adidas Boston 10 adiBoston10,,,3477,3.702,2.879,11.4,204.0,792.7,798.5,3.2,0.0,98.0,93.0,,132.0,711.0,36.0,0.0,2023,5.78921078921079,Post-COVID,Low,37,2023-37
3962202892,Run,4603,12.01,,,False,,,,4603,4.4,2.61,207.2,353.0,824.0,871.4,8.3,-0.1,93.0,84.0,,,892.0,,0.0,2020,6.387732445184569,COVID,High,35,2020-35
3624780915,Run,3707,10.12,136.0,23.0,False,,,,3707,3.2,2.731,12.8,119.0,794.2,801.9,2.5,0.0,95.0,89.0,,121.0,481.0,23.0,0.0,2020,6.105072463768116,COVID,Low,25,2020-25
3179065767,Run,422,0.81,119.0,1.0,False,Nike Flyknit Streak 6 Nike Flyknit S6,67.4,,422,2.3,1.922,2.2,14.0,793.6,796.4,4.4,0.3,88.0,82.0,119.0,111.0,59.0,1.0,0.0,2020,8.68312757201646,COVID,Low,11,2020-11
14078424680,Run,1955,5.04,143.0,17.0,False,Nike Infinity FK3 Nike Infinity FK3 ,,,1955,3.25,2.581,2.4,67.0,795.7,798.8,4.4,0.0,95.0,92.0,143.0,131.0,369.0,17.0,0.0,2025,6.46494708994709,Post-COVID,Low,14,2025-14
13694302794,Run,8288,21.21,147.0,70.0,False,Nike Infinity FK3 Nike Infinity FK3 ,,,8232,4.833,2.577,48.7,330.0,793.5,805.7,5.3,0.0,120.0,91.0,147.0,130.0,1540.0,70.0,0.0,2025,6.468646864686468,Post-COVID,High,8,2025-8
5729904054,Run,2959,8.01,138.0,16.0,False,,,,2959,3.4,2.707,0.0,164.0,795.6,796.3,2.0,0.0,95.0,86.0,,128.0,551.0,16.0,0.0,2021,6.156887224302955,COVID,Low,31,2021-31
3561606557,Run,4075,10.69,134.0,25.0,False,,,,4075,3.6,2.625,20.2,259.0,793.0,805.4,2.6,0.0,99.0,90.0,,123.0,542.0,25.0,0.0,2020,6.353289678827565,COVID,Low,23,2020-23
1827893387,Run,1963,5.33,218.0,58.0,False,,67.0,,1951,3.5,,25.2,75.0,792.0,800.0,8.9,0.0,93.0,78.0,218.0,143.0,352.0,58.0,0.0,2018,6.100687929956222,Pre-COVID,High,36,2018-36
3480874796,Run,770,2.0,118.0,2.0,False,,68.0,,770,3.3,2.606,10.9,73.0,794.7,805.7,2.2,0.5,95.0,90.0,118.0,109.0,89.0,2.0,0.0,2020,6.416666666666667,COVID,Low,21,2020-21
1813422840,Run,2266,5.72,162.0,89.0,False,,67.0,,2266,3.3,,105.1,134.0,822.0,873.2,11.4,0.1,91.0,83.0,162.0,149.0,432.0,89.0,0.0,2018,6.602564102564103,Pre-COVID,High,35,2018-35
4402777431,Run,4007,10.6,154.0,22.0,False,,,,3844,4.1,2.758,23.8,345.0,792.1,805.5,5.5,0.0,96.0,88.0,,126.0,627.0,22.0,0.0,2020,6.044025157232705,COVID,Low,48,2020-48
14866299955,Run,9440,24.24,151.0,87.0,False,New Balance 1080 V14 NB 1080 V14,,,9308,4.66,2.605,133.6,330.0,793.3,827.2,7.4,0.0,118.0,89.0,151.0,130.0,1657.0,87.0,0.0,2025,6.3998899889989,Post-COVID,High,25,2025-25
2241586337,Run,3782,9.81,160.0,43.0,False,Nike Flyknit Streak 6 Nike Flyknit S6,68.7,,3766,5.6,,57.5,177.0,793.6,796.7,2.4,0.0,108.0,86.0,160.0,127.0,574.0,43.0,0.0,2019,6.398233095480801,Pre-COVID,High,13,2019-13
898792203,Run,2934,8.0,132.0,19.0,False,,70.0,,2934,4.4,,10.3,,787.7,800.0,11.6,0.0,92.0,81.0,132.0,124.0,,19.0,0.0,2017,6.1125,Pre-COVID,Low,11,2017-11
2035098854,Run,1502,4.48,,,False,Nike Flyknit Streak 6 Nike Flyknit S6,68.7,,1502,4.3,,24.1,101.0,793.6,796.8,2.1,0.0,96.0,87.0,,,339.0,,0.0,2018,5.587797619047619,Pre-COVID,Low,52,2018-52
4538410594,Run,1434,3.83,147.0,7.0,False,,,,1434,5.1,2.672,11.4,97.0,793.8,797.9,3.4,0.0,121.0,88.0,,121.0,243.0,7.0,0.0,2020,6.240208877284595,COVID,Low,53,2020-53
14756342980,Run,3878,10.3,149.0,70.0,False,Nike Infinity FK3 Nike Infinity FK3 ,,,3878,3.714,2.656,11.2,222.0,795.4,797.8,1.3,0.0,98.0,90.0,149.0,138.0,761.0,70.0,0.0,2025,6.275080906148868,Post-COVID,Low,24,2025-24
16865187925,Run,2109,5.07,143.0,20.0,False,New Balance Kaiha Road NB Kaiha ,,,2101,3.383,2.417,5.6,5.0,792.9,798.0,2.5,0.0,116.0,82.0,143.0,127.0,363.0,20.0,0.0,2025,6.906640368178829,Post-COVID,Low,52,2025-52
14499715524,Run,3107,7.77,139.0,18.0,False,ASICS Kayano 29 Asics K29,,,3071,4.117,2.531,11.4,267.0,793.0,799.1,8.8,0.0,95.0,89.0,139.0,126.0,543.0,18.0,0.0,2025,6.587301587301587,Post-COVID,Low,20,2025-20
2093507894,Run,2706,7.85,207.0,49.0,False,,68.7,,2703,3.6,,5.0,172.0,794.4,797.6,4.0,0.0,96.0,90.0,207.0,133.0,495.0,49.0,0.0,2019,5.738853503184713,Pre-COVID,Low,4,2019-4
1289641135,Run,601,1.51,137.0,9.0,False,,75.8,,601,2.9,,7.8,,800.6,805.4,3.2,0.1,92.0,84.0,137.0,131.0,,9.0,0.0,2017,6.63355408388521,Pre-COVID,Low,47,2017-47
1187579675,Run,3806,10.01,174.0,62.0,False,,75.8,,3775,3.9,,111.4,,787.3,840.9,15.2,0.0,96.0,75.0,174.0,131.0,,62.0,0.0,2017,6.285381285381285,Pre-COVID,High,37,2017-37
17727342362,Run,6192,16.0,159.0,106.0,False,New Balance Kaiha Road NB Kaiha ,,,6188,4.214,2.586,25.6,26.4,792.9,803.4,3.0,0.0,99.0,89.0,159.0,138.0,1186.0,106.0,0.0,2026,6.445833333333334,Post-COVID,High,11,2026-11
3329546079,Run,4115,11.42,133.0,23.0,False,,67.4,,4095,4.0,2.791,29.1,294.0,794.3,815.8,3.9,0.0,96.0,91.0,133.0,120.0,522.0,23.0,0.0,2020,5.976357267950963,COVID,High,17,2020-17
1438813261,Run,3669,10.19,164.0,51.0,False,,67.0,,3669,3.8,,42.6,,789.9,799.1,5.7,0.0,91.0,84.0,164.0,130.0,,51.0,0.0,2018,6.000981354268891,Pre-COVID,High,10,2018-10
3248862863,Run,4220,12.0,133.0,21.0,False,,67.4,,4216,4.3,2.847,38.0,325.0,794.1,816.3,4.1,0.0,100.0,91.0,133.0,119.0,642.0,21.0,0.0,2020,5.855555555555555,COVID,High,14,2020-14
7340112714,Run,3693,10.01,128.0,14.0,False,,,,3689,4.088,2.714,19.8,220.0,792.5,805.2,8.7,0.0,96.0,91.0,,119.0,652.0,14.0,0.0,2022,6.142191142191143,Post-COVID,Low,25,2022-25
2729736106,Run,9366,30.01,223.0,279.0,False,,70.4,,9362,4.4,,435.0,446.0,792.5,828.3,7.4,0.0,99.0,92.0,223.0,142.0,1689.0,279.0,0.0,2019,5.199377985116072,Pre-COVID,High,38,2019-38
5546325390,Run,4039,10.32,156.0,21.0,False,,,,4018,3.4,2.57,20.8,217.0,795.3,816.4,4.0,0.0,96.0,88.0,,126.0,700.0,21.0,0.0,2021,6.489018087855297,COVID,Low,26,2021-26
9189094167,Run,3431,8.0,136.0,15.0,False,Adidas Boston 10 adiBoston10,,,3361,3.973,2.382,2.0,149.0,794.5,796.6,3.7,0.0,95.0,86.0,,123.0,594.0,15.0,0.0,2023,7.002083333333333,Post-COVID,Low,22,2023-22
12433730191,Run,4437,12.12,163.0,81.0,False,Nike Flyknit Streak 6 Nike Flyknit S6,,,4437,4.45,2.732,213.7,246.0,833.2,870.4,9.6,0.0,98.0,89.0,163.0,139.0,913.0,81.0,0.0,2024,6.101485148514852,Post-COVID,High,38,2024-38
984103076,Run,6570,21.35,218.0,443.0,False,,68.5,,6570,5.2,,269.2,269.1,1.9,72.9,11.3,0.0,98.0,88.0,218.0,166.0,1812.0,443.0,0.0,2017,5.128805620608899,Pre-COVID,High,19,2017-19
3121644529,Run,722,1.69,177.0,15.0,False,,67.4,,722,3.1,2.347,10.0,15.0,793.9,796.9,4.2,0.0,94.0,90.0,177.0,140.0,123.0,15.0,0.0,2020,7.120315581854044,COVID,Low,8,2020-8
17614817047,Run,4078,11.11,161.0,44.0,False,New Balance Kaiha Road NB Kaiha ,,,4074,4.75,2.729,24.0,21.1,792.9,803.4,5.4,0.0,98.0,86.0,161.0,131.0,788.0,44.0,0.0,2026,6.111611161116112,Post-COVID,Low,10,2026-10
11112684472,Run,6088,17.07,172.0,76.0,False,Nike Infinity FK3 Nike Infinity FK3 ,,,6002,5.16,2.845,70.7,239.0,793.0,805.0,8.6,0.0,98.0,91.0,172.0,136.0,1181.0,76.0,0.0,2024,5.860183557898847,Post-COVID,High,14,2024-14
10801466774,Run,3603,10.01,143.0,20.0,False,Nike Infinity FK3 Nike Infinity FK3 ,,,3581,4.113,2.795,14.9,247.0,795.0,798.7,3.8,0.0,96.0,91.0,,128.0,669.0,20.0,0.0,2024,5.962370962370962,Post-COVID,Low,8,2024-8
2998137189,Run,3760,10.0,,,False,,69.0,,3760,3.4,2.661,2.3,136.0,794.5,797.5,1.8,0.0,96.0,90.0,,,757.0,,0.0,2020,6.266666666666667,COVID,Low,2,2020-2
879886880,Run,1826,5.14,186.0,27.0,False,,70.0,,1819,5.5,,0.0,,793.2,798.0,8.2,0.0,99.0,87.0,186.0,130.0,,27.0,0.0,2017,5.8981841763942935,Pre-COVID,Low,8,2017-8
2912594529,Run,5474,16.75,145.0,127.0,False,,70.0,,5462,3.6,3.069,174.0,183.0,794.5,797.6,1.9,0.0,95.0,92.0,145.0,136.0,948.0,127.0,0.0,2019,5.434825870646766,Pre-COVID,High,49,2019-49
13569533006,Run,7231,18.19,144.0,70.0,False,ASICS Kayano 29 Asics K29,,,7157,3.443,2.542,41.8,361.0,795.0,805.7,5.4,0.0,121.0,89.0,144.0,131.0,1315.0,70.0,0.0,2025,6.557632398753894,Post-COVID,High,6,2025-6
2965409283,Run,2580,7.13,,,False,,69.0,,2542,4.5,2.767,140.0,111.0,792.9,804.7,3.4,0.0,95.0,90.0,,,531.0,,0.0,2019,5.942028985507246,Pre-COVID,High,52,2019-52
2157217067,Run,7932,24.1,142.0,154.0,False,,68.7,,7932,5.2,,98.6,328.0,791.2,818.6,8.6,0.0,96.0,89.0,142.0,133.0,1236.0,154.0,0.0,2019,5.485477178423236,Pre-COVID,High,7,2019-7
3135857887,Run,439,1.0,126.0,2.0,False,,67.4,,439,2.6,2.298,4.3,23.0,793.9,797.0,4.1,0.0,90.0,86.0,126.0,122.0,75.0,2.0,0.0,2020,7.316666666666666,COVID,Low,9,2020-9
2218673256,Run,8269,25.03,181.0,245.0,False,,68.7,,8266,6.4,,96.6,641.0,785.3,813.5,6.8,0.0,95.0,91.0,181.0,142.0,1549.0,245.0,0.0,2019,5.504061792515648,Pre-COVID,High,11,2019-11
8686257929,Run,2798,5.58,146.0,19.0,False,,,,2701,3.336,2.066,0.0,189.0,794.5,797.1,2.2,0.0,122.0,82.0,,126.0,386.0,19.0,0.0,2023,8.067502986857825,Post-COVID,Low,10,2023-10
6491286207,Run,8523,26.3,169.0,272.0,False,,,,8523,4.103,3.086,65.7,479.0,793.3,816.3,5.1,0.0,96.0,92.0,,151.0,1841.0,272.0,0.0,2022,5.401140684410647,Post-COVID,High,1,2022-1
4538412154,Run,1351,5.01,165.0,56.0,False,,,,1351,4.5,3.708,15.9,108.0,793.8,797.9,2.1,0.0,99.0,94.0,,157.0,315.0,56.0,0.0,2020,4.494344644045243,COVID,Low,53,2020-53
3265343505,Run,1279,3.49,164.0,29.0,False,,67.4,,1187,5.6,2.728,16.3,95.0,793.9,799.9,4.2,0.0,104.0,88.0,164.0,137.0,237.0,29.0,0.0,2020,5.6685768863419295,COVID,Low,15,2020-15
5348752253,Run,4578,12.22,151.0,41.0,False,,,,4500,4.8,2.716,5.4,340.0,793.2,797.5,3.2,0.0,98.0,84.0,,127.0,709.0,41.0,0.0,2021,6.13747954173486,COVID,Low,21,2021-21
6007174163,Run,4206,11.39,168.0,67.0,False,,,,4203,4.9,2.712,0.0,241.0,796.5,797.2,1.0,0.0,100.0,81.0,,137.0,784.0,67.0,0.0,2021,6.150131694468832,COVID,Low,38,2021-38
16665732244,Run,8599,22.22,169.0,122.0,False,New Balance Kaiha Road NB Kaiha ,,,8469,4.433,2.624,32.3,430.0,792.9,805.6,5.1,0.0,117.0,89.0,169.0,135.0,1638.0,122.0,0.0,2025,6.352385238523853,Post-COVID,High,49,2025-49
2385773419,Run,3062,10.01,,,False,,68.7,,3062,4.3,,232.0,234.0,825.6,871.0,10.2,0.0,97.0,88.0,,,748.0,,,2019,5.098235098235098,Pre-COVID,High,21,2019-21
2138772830,Run,2828,7.61,,,False,,68.7,,2828,3.2,,40.5,67.0,793.5,796.8,2.0,0.0,95.0,90.0,,,566.0,,0.0,2019,6.1936049058256675,Pre-COVID,High,7,2019-7
3101479820,Run,2486,9.94,168.0,145.0,False,Nike Flyknit Streak 6 Nike Flyknit S6,67.4,,2486,5.4,3.999,52.3,85.0,793.9,796.9,3.7,0.0,100.0,95.0,168.0,158.0,593.0,145.0,0.0,2020,4.1683433936955065,COVID,High,7,2020-7
7662411981,Run,3923,10.41,130.0,14.0,False,Adidas Boston 10 adiBoston10,,,3923,4.041,2.653,26.0,267.0,793.0,805.7,8.7,0.0,95.0,89.0,,114.0,674.0,14.0,0.0,2022,6.280819724623759,Post-COVID,High,33,2022-33
1394111662,Run,4806,15.01,180.0,121.0,False,,67.0,,4806,5.7,,94.5,,792.0,817.4,8.1,0.0,98.0,85.0,180.0,138.0,1246.0,121.0,0.0,2018,5.336442371752165,Pre-COVID,High,6,2018-6
1340232107,Run,3980,12.11,147.0,114.0,False,,75.8,,3980,3.4,,63.9,,793.5,796.7,3.6,0.0,95.0,86.0,147.0,141.0,,114.0,0.0,2018,5.477566749243049,Pre-COVID,High,1,2018-1
2811296217,Run,969,2.63,130.0,4.0,False,,70.0,,969,3.2,,17.0,24.0,793.9,796.9,4.4,0.0,94.0,91.0,130.0,120.0,154.0,4.0,0.0,2019,6.140684410646387,Pre-COVID,Low,43,2019-43
1980287136,Run,1302,4.01,183.0,57.0,False,,72.6,,1302,4.8,,23.1,24.0,793.6,796.5,2.7,0.0,99.0,83.0,183.0,153.0,285.0,57.0,0.0,2018,5.41147132169576,Pre-COVID,Low,47,2018-47
10338329665,Run,4122,11.0,145.0,21.0,False,,,,4056,3.664,2.714,13.4,236.0,792.7,798.8,4.5,0.0,96.0,91.0,,126.0,766.0,21.0,0.0,2023,6.145454545454545,Post-COVID,Low,49,2023-49
7071646676,Run,8301,22.51,139.0,36.0,False,,,,8280,3.882,2.719,67.2,482.0,793.2,817.0,11.9,0.0,96.0,91.0,,123.0,1587.0,36.0,0.0,2022,6.130608618391825,Post-COVID,High,17,2022-17
14152538236,Run,3174,7.77,145.0,21.0,False,Nike Infinity FK3 Nike Infinity FK3 ,,,3060,3.983,2.539,15.8,216.0,793.4,806.5,4.0,0.0,100.0,93.0,145.0,129.0,574.0,21.0,0.0,2025,6.563706563706564,Post-COVID,Low,15,2025-15
4478298392,Run,2344,5.77,145.0,12.0,False,,,,2344,5.1,2.465,4.8,84.0,793.4,799.0,1.9,0.0,99.0,77.0,,115.0,324.0,12.0,0.0,2020,6.770652801848644,COVID,Low,51,2020-51
1513519503,Run,3008,8.24,183.0,50.0,False,,67.0,,3000,3.1,,47.7,,793.6,796.8,3.3,0.0,93.0,85.0,183.0,133.0,681.0,50.0,0.0,2018,6.067961165048543,Pre-COVID,High,16,2018-16
11564212372,Run,663,1.59,145.0,4.0,False,Adidas Boston 10 adiBoston10,,,663,2.859,2.407,15.6,36.0,811.1,826.9,4.5,0.0,93.0,87.0,145.0,126.0,119.0,4.0,0.0,2024,6.949685534591195,Post-COVID,Low,23,2024-23
11819012884,Run,5612,14.01,140.0,27.0,False,ASICS Kayano 29 Asics K29,,,5542,3.506,2.528,18.7,256.0,792.7,798.7,3.8,0.0,115.0,88.0,140.0,121.0,977.0,27.0,0.0,2024,6.5929098263145365,Post-COVID,Low,27,2024-27
13309109073,Run,4035,10.1,134.0,18.0,False,ASICS Kayano 29 Asics K29,,,4023,4.243,2.512,14.9,279.0,793.2,798.8,2.9,0.0,96.0,90.0,134.0,126.0,711.0,18.0,0.0,2025,6.638613861386139,Post-COVID,Low,2,2025-2
1978504668,Run,4203,12.41,152.0,81.0,False,,72.6,,4203,19.5,,67.6,307.0,793.5,796.9,2.1,0.0,93.0,77.0,152.0,132.0,785.0,81.0,0.0,2018,5.64464141821112,Pre-COVID,High,47,2018-47
1320979435,Run,4336,12.0,166.0,67.0,False,,75.8,,4328,5.1,,54.5,,793.5,796.7,2.7,0.0,101.0,85.0,166.0,132.0,,67.0,0.0,2017,6.011111111111112,Pre-COVID,High,51,2017-51
3536160892,Run,4203,10.73,137.0,33.0,False,,,,4203,3.3,2.553,186.7,262.0,809.9,868.3,16.1,0.0,96.0,87.0,,124.0,532.0,33.0,0.0,2020,6.528424976700839,COVID,High,22,2020-22
7214433160,Run,4606,12.25,131.0,19.0,False,,,,4531,4.013,2.705,18.9,418.0,793.5,805.7,5.2,0.0,96.0,90.0,,123.0,822.0,19.0,0.0,2022,6.164625850340136,Post-COVID,Low,21,2022-21
5525548132,Run,4697,12.25,145.0,23.0,False,,,,4668,3.3,2.624,20.7,228.0,794.8,816.4,4.1,0.0,94.0,88.0,,128.0,828.0,23.0,0.0,2021,6.351020408163265,COVID,Low,25,2021-25
2007054359,Run,2722,7.59,,,False,,72.6,,2722,3.3,,40.1,94.0,793.5,796.7,2.2,0.0,96.0,90.0,,,601.0,,0.0,2018,5.9771629336846726,Pre-COVID,High,49,2018-49
6043085911,Run,3743,10.01,146.0,21.0,False,,,,3743,4.0,2.675,15.2,204.0,793.1,799.0,4.7,0.0,97.0,90.0,,127.0,722.0,21.0,0.0,2021,6.232101232101233,COVID,Low,39,2021-39
11370666749,Run,6114,16.3,166.0,86.0,False,Nike Infinity FK3 Nike Infinity FK3 ,,,6114,4.765,2.666,101.7,260.0,791.9,795.1,2.4,0.0,101.0,90.0,166.0,137.0,1191.0,86.0,0.0,2024,6.251533742331288,Post-COVID,High,19,2024-19
2953319473,Run,1355,3.62,143.0,10.0,False,Nike Flyknit Streak 6 Nike Flyknit S6,70.0,,1355,4.4,2.674,72.0,74.0,793.9,796.9,3.8,0.0,97.0,88.0,143.0,123.0,218.0,10.0,0.0,2019,6.238489871086555,Pre-COVID,High,52,2019-52
3143992368,Run,1874,3.28,143.0,9.0,False,,67.4,,1356,4.9,1.752,10.9,25.0,26.1,31.5,5.5,-0.1,122.0,80.0,143.0,121.0,296.0,9.0,0.0,2020,6.890243902439026,COVID,Low,9,2020-9
2346966837,Run,2425,6.12,121.0,9.0,False,,68.7,,2425,3.1,,90.0,109.0,793.5,796.7,2.1,0.0,97.0,88.0,121.0,111.0,305.0,9.0,,2019,6.6040305010893245,Pre-COVID,High,19,2019-19
978450840,Run,845,2.33,132.0,6.0,False,,68.5,,845,3.5,,0.0,,786.2,800.0,8.4,-0.3,91.0,83.0,132.0,122.0,,6.0,0.0,2017,6.044349070100143,Pre-COVID,Low,19,2017-19
14298218633,Run,5875,21.21,173.0,351.0,False,,,,5875,5.17,3.612,47.3,233.0,0.3,14.2,4.0,0.0,99.0,95.0,173.0,166.0,1484.0,351.0,0.0,2025,4.616533081879616,Post-COVID,High,17,2025-17
1975154389,Run,3972,11.11,156.0,58.0,False,,72.6,,3939,6.1,,59.3,205.0,793.6,796.8,2.6,0.0,95.0,87.0,156.0,130.0,717.0,58.0,0.0,2018,5.90909090909091,Pre-COVID,High,47,2018-47
6169414138,Run,2403,6.75,142.0,12.0,False,,,,2403,3.4,2.809,8.9,160.0,793.7,799.0,5.5,0.0,95.0,91.0,,126.0,469.0,12.0,0.0,2021,5.933333333333333,COVID,Low,43,2021-43
882774770,Run,601,1.04,126.0,2.0,False,,70.0,,601,2.2,,0.0,,793.8,798.1,7.0,0.0,85.0,81.0,126.0,120.0,,2.0,0.0,2017,9.631410256410257,Pre-COVID,Low,9,2017-9
7023443128,Run,3647,11.44,165.0,69.0,False,,,,3621,5.173,3.161,24.3,194.0,794.1,805.6,8.2,0.0,112.0,91.0,,141.0,770.0,69.0,0.0,2022,5.275349650349651,Post-COVID,Low,16,2022-16
3529435211,Run,10724,30.0,164.0,293.0,False,,,,10700,3.9,2.804,53.5,507.0,793.3,805.4,5.2,0.0,97.0,90.0,,140.0,1747.0,293.0,0.0,2020,5.944444444444445,COVID,High,22,2020-22
3095918620,Run,269,0.73,155.0,6.0,False,,67.4,,269,5.0,2.744,5.6,5.0,793.9,796.9,4.7,0.0,100.0,87.0,155.0,137.0,51.0,6.0,0.0,2020,6.141552511415525,COVID,Low,7,2020-7
10108512495,Run,3632,10.06,141.0,40.0,False,,,,3600,3.824,2.796,18.2,212.0,792.7,798.8,5.4,0.0,96.0,92.0,,133.0,708.0,40.0,0.0,2023,5.964214711729622,Post-COVID,Low,43,2023-43
2125445430,Run,4566,12.9,206.0,173.0,False,,68.7,,4445,5.1,,63.9,123.0,793.6,796.6,2.9,0.0,101.0,86.0,206.0,150.0,880.0,173.0,0.0,2019,5.742894056847545,Pre-COVID,High,6,2019-6
12577403450,Run,2706,7.18,166.0,43.0,False,ASICS Kayano 29 Asics K29,,,2701,3.994,2.66,19.1,235.0,792.5,806.7,6.3,0.2,109.0,90.0,166.0,136.0,534.0,43.0,0.0,2024,6.269730733519035,Post-COVID,Low,40,2024-40
10116903215,Run,10074,26.0,155.0,119.0,False,ASICS Kayano 29 Asics K29,,,9886,3.515,2.631,36.5,399.0,793.1,805.0,5.6,0.0,97.0,91.0,,134.0,1822.0,119.0,0.0,2023,6.337179487179488,Post-COVID,High,43,2023-43
9937351620,Run,3546,10.01,141.0,33.0,False,,,,3546,3.599,2.825,11.2,232.0,792.6,798.5,1.9,0.0,95.0,92.0,,132.0,699.0,33.0,0.0,2023,5.904095904095905,Post-COVID,Low,39,2023-39
